Ubicaciones,Tipo ubicación,Hecho Victimizante,Tipo Hecho,Afectación,Tipo Afectación,Temporalidad,Tipo Temporalidad,Entidades,Tipo Entidad
marinilla,municipio,ataque,terrorismo,protesta,político / sociales,,,ludivia,entidades
montebello,municipio,atentado,terrorismo,reunión,político / sociales,,,frankie,entidades
murindó,municipio,bomba,terrorismo,denuncias,político / sociales,,,ómar,entidades
mutatá,municipio,incendio,terrorismo,contrabando,político / sociales,,,jorge,entidades
nariño,municipio,carrobomba,terrorismo,extradición,político / sociales,,,tiberio fernández,entidades
necoclí,municipio,motobomba,terrorismo,descuido estatal,político / sociales,,,ernesto samper,entidades
nechí,municipio,explosión,terrorismo,manifestación pacifica,político / sociales,,,alba mery chilito,entidades
olaya,municipio,cilindro,terrorismo,descuido estatal,político / sociales,,,carmen cuadrado fince,entidades
peñol,municipio,estallido,terrorismo,muertos,físicas,,,clan uriana,entidades
peque,municipio,pipeta,terrorismo,muerto,físicas,,,wayuu,entidades
pueblorrico,municipio,destrozo,terrorismo,,,,,rey,entidades
puerto berrío,municipio,terrorismo,terrorismo,,,,,iguarán,entidades
puerto nare,municipio,censo de victimas,masacre,,,,,simón barros epieyu,entidades
puerto triunfo,municipio,violencia política,violencia política,,,,,chema bala,entidades
remedios,municipio,operación contrainsurgente,violencia política,,,,,jorge cuarenta,entidades
retiro,municipio,conciencia social,violencia política,,,,,reina,entidades
rionegro,municipio,lucha política,violencia política,,,,,rubén epinay,entidades
sabanalarga,municipio,exterminio político,violencia política,,,,,diana fince uriana,entidades
sabaneta,municipio,asesinato sistemático,violencia política,,,,,rosa de la nieve mosquera cuello,entidades
salgar,municipio,me perseguía,violencia sexual,,,,,camilo,entidades
ciénega,municipio,me cogía contra una pared,violencia sexual,,,,,misioneras agustinas,entidades
santacruz,municipio,me daba,violencia sexual,,,,,afectado,entidades
san francisco,municipio,nos separamos,violencia sexual,,,,,antún ramos,entidades
san jerónimo,municipio,toma guerrillera,amenazas,,,,,auria,entidades
puerto wilches,municipio,toma paramilitar,amenazas,,,,,soraya bayuelo,entidades
puerto parra,municipio,no son nadie,amenazas,,,,,el chichi,entidades
san luis,municipio,toque de queda,amenazas,,,,,beatriz,entidades
san pedro,municipio,ataque guerrillero,amenazas,,,,,maría angélica roncallo bayuelo,entidades
san rafael,municipio,ataque paramilitar,amenazas,,,,,farc,grupos armados
san roque,municipio,quitar los dedos,tortura,,,,,paracos,grupos armados
san vicente,municipio,brazo calcinado,tortura,,,,,paramilitares,grupos armados
santa bárbara,municipio,profanar,terrorismo,,,,,paras,grupos armados
santo domingo,municipio,profanado tumbas,terrorismo,,,,,eln,grupos armados
el santuario,municipio,carro bomba,terrorismo,,,,,auc,grupos armados
segovia,municipio,cilindro bomba,terrorismo,,,,,guerrilla,grupos armados
sopetrán,municipio,,,,,,,batallón,grupos armados
uribe,municipio,,,,,,,ejercito,grupos armados
támesis,municipio,,,,,,,policía,grupos armados
tarazá,municipio,,,,,,,guerrero,grupos armados
tarso,municipio,,,,,,,soldado,grupos armados
titiribí,municipio,,,,,,,tropas,grupos armados
toledo,municipio,,,,,,,narcotraficantes,grupos armados
turbo,municipio,,,,,,,estado,grupos armados
uramita,municipio,,,,,,,militares,grupos armados
urrao,municipio,,,,,,,dueño,grupos armados
valdivia,municipio,,,,,,,autoridades,grupos armados
valparaíso,municipio,,,,,,,comandante,grupos armados
vegachí,municipio,,,,,,,sijin,grupos armados
venecia,municipio,,,,,,,revolucionarios del nordeste,grupos armados
yalí,municipio,,,,,,,autodefensas unidas de colombia,grupos armados
yarumal,municipio,,,,,,,bloque norte,grupos armados
yolombó,municipio,,,,,,,bloque 58,grupos armados
yondó,municipio,,,,,,,frente 37,grupos armados
zaragoza,municipio,,,,,,,fuerza publica,grupos armados
barranquilla,municipio,,,,,,,fuerzas armadas de colombia,grupos armados
baranoa,municipio,,,,,,,informantes,grupos armados
candelaria,municipio,,,,,,,bloque metro,grupos armados
galapa,municipio,,,,,,,funeraria,organizaciones
